"state","year","co2_emission","total_num_investments","total_amnt_assist","BDFDB","BDPRP","BFFDB","BFPRP","CLPRB","CLPRK","CLPRP","COPRK","EMFDB","ENPRP","GETCB","HYTCB","NCPRB","NGMPB","NGMPK","NGMPP","NUETB","PAPRB","PAPRP","REPRB","SOTCB","TEPRB","TETCB","WDEXB","WDPRB","WDTCB","WSTCB","WWPRB","WYTCB","employment_total","employment_wage_salary","employment_proprietors","employment_proprietors_farm","employment_proprietors_nonfarm","employment_farm","employment_nonfarm","employment_nonfarm_private","employment_forestry_fishing_related","employment_mining_quarrying_oil_gas","employment_utilities","employment_contrsuction","employment_manufacturing","employment_wholesale_trade","employment_retail_trade","employment_transportation_warehousing","employment_information","employment_finance_insurance","employment_real_estate_rental_leasing","employment_professional_scientific_technical","employment_management_companies","employment_administrative_support_waste_remediation","employment_educational","employment_healh_care","employment_arts_entertainment_recreation","employment_accommodation_food","employment_other_services","employment_government_gov_enterprises","employment_federal_civilian","employment_military","employment_state_local","employment_state","employment_local","gdp_all_industry_total","gdp_private_industries","gdp_agriculture_forestry_fishing_hunting","gdp_farms","gdp_forestry_fishing_related","gdp_mining_quarrying_oil_gas","gdp_oil_gas","gdp_mining","gdp_support_activities_mining","gdp_utlilities","gdp_construction","gdp_manufacturing","gdp_durable_goods_manufacturing","gdp_wood_product_manufacturing","gdp_nonmetallic_mineral_product_manufacturing","gdp_primary_metal_manufacturing","gdp_fabricated_metal_product_manufacturing","gdp_machinery_manufacturing","gdp_computer_electronic_manufacturing","gdp_electrical_equipment_appliance_manufacturing","gdp_vehicles_trailers_parts_manufacturing","gdp_other_transportation_equipment_manufacturing","gdp_furniture_manufacturing","gdp_miscellaneous_manufacturing","gdp_nondurable_goods_manufacturing","gdp_food_beverage_tabacco_manufacturing","gdp_textile","gdp_apparel_manufacturing","gdp_paper_manufacturing","gdp_printing","gdp_petroleum_coal_manufacturing","gdp_chemical_manufacturing","gdp_plastics_rubber_manufacturing","gdp_wholesale_trade","gdp_retail_trade","gdp_transportation_warehousing","gdp_air_transportation","gdp_rail_transportation","gdp_water_trasnportation","gdp_truck_transportation","gdp_ground_passenger_transportation","gdp_pipeline_transportation","gdp_other_transportation","gdp_warehousing","gdp_information","gdp_publishing_industries","gdp_motion_pictures","gdp_broadcasting","gdp_data_processing_hosting","gdp_finance_insurance_real_estate","gdp_finance_insurance","gdp_monetary_authorities","gdp_securities_contracts","gdp_insurance_carriers","gdp_funds_trusts","gdp_real_estate_rental_leasing","gdp_real_estate","gdp_rental_leasing","gdp_professional_business","gdp_professional_scientific_technical","gdp_legal","gdp_computer_systems_design","gdp_misc_professional_scientific","gdp_management_companies_enterprises","gdp_administrative_support_waste","gdp_administrative_support","gdp_waste_remediation","gdp_educational_health_social","gdp_educational","gdp_health_care_social","gdp_ambulatory_health","gdp_hospitals","gdp_nursing","gdp_social_assistance","gdp_arts_entertainment_recreation_accommodation_food","gdp_arts_entertainment_recreation","gdp_performing_arts_spectator_sports_museums","gdp_amusement_gambling","gdp_accommodation_food","gdp_accommodation","gdp_food_services","gdp_other_services","gdp_government_gov_enterprises","gdp_federal_civilian","gdp_military","gdp_state_local","gdp_natural_resources_mining","gdp_trade","gdp_transportation_utlities","gdp_manufacturing_information","gdp_goods_producing_industries","gdp_services_providing_industries","party_governer","party_prop_representative","party_prop_senator","median_household_income","population","number_photovoltaic_shipments"
"South Dakota",2018,15.5239953594894,38,3826069,0,0,165485,28987,0,0,0,5.706,165485,28987,1868,57048,84755,494,1.105,447,0,7264,1273,254033,29,261791,406677,0,3218,3218,575,3793,25810,609555,458271,151284,25646,125638,31257,578298,492155,5963,2121,2078,34931,46918,22381,67115,17321,6935,41135,26583,23391,6025,19312,10122,71637,12809,44705,30673,86143,11294,8016,66833,18732,48101,53239,47388.3,3702,3543.9,158.1,137.2,9.7,124.2,3.4,879.7,2049.1,5053.6,3521.8,197.8,332.8,53.2,349.2,793,182.5,68.6,290,31.1,150.3,1073.2,1531.9,834.2,33.7,1.1,67.4,104.9,4.8,357.8,127.9,3550.2,3486,1218,85.1,170.2,0.4,613.9,57.1,31.7,211.4,48.1,1291.6,143.5,34.9,1045.3,67.9,14395.8,9810.6,8044.1,249.6,1334,182.9,4585.2,4389.7,195.5,3127.3,1634,265,327.4,1041.6,708.9,784.4,705.2,79.2,5384.3,351.6,5032.8,2047.4,2165.3,538.3,281.7,2018.8,319.3,112.2,207.1,1699.5,769.4,930,1094.6,5850.7,1016.8,524.6,4309.3,3839.2,7036.3,2097.7,6345.2,10942,36446.3,1,1,1,56274,879386,NA
"Tennessee",2018,93.8359821864297,31,4038180,2721,501,27703,4877,5922,25.521,232,5.706,24982,4376,213,93705,96669,3737,1.138,3283,378224,1198,210,186147,2378,575228,2233190,134,56329,56195,5446,61775,373,4118341,3132827,985514,64402,921112,75198,4043143,3591581,11536,7428,4074,226666,366623,131306,420227,221099,58040,189398,165101,231783,56095,310380,83062,430479,96233,327528,254523,451562,49590,20605,381367,96420,284947,362737.1,322139,1321.5,966.1,355.4,896.1,9.9,841.7,44.5,2073.5,14638.7,54091.9,31482.6,1134,1771.9,1707.3,4114.7,3500.2,882.1,3934.4,10218.7,638.7,587.9,2992.7,22609.2,8156.6,551.1,196.7,2795.2,1093.4,1289.3,5945.4,2581.5,23842.5,24212.2,16495.8,870.8,880.1,417.2,5485.8,446,579.4,5792.5,2024.1,10998.5,1860.9,1678.5,5827.8,1631.2,62145.7,21689.6,8117.6,2491.4,10810.5,270.2,40456.1,37229.5,3226.7,41884.2,20873.1,3012.2,2920.6,14940.2,6880.1,14131,13001.5,1129.5,39267.2,3984.9,35282.2,17608.8,13223.1,2874.7,1575.6,21155.7,7415.1,6172.3,1242.9,13740.6,3774.9,9965.7,9115.6,40598.1,10049.2,1269.6,29279.3,2217.6,48054.7,18569.2,65090.3,70948.2,251190.8,1,0.75,1,52375,6778180,NA
"Texas",2018,684.689594291345,261,46570295,29389,5409,76580,13675,328812,13.247,24823,5.706,47192,8266,2478,10255,738209,9776991,1.216,8041010,430597,9181148,1609034,901492,36299,20619040,14009870,0,59316,59316,27387,86703,689177,17605335,12973344,4631991,223787,4408204,273634,17331701,15261478,65812,416200,57049,1207229,963589,654364,1659051,820763,257778,1075064,797382,1218985,213559,1177529,285075,1704735,306186,1341341,1039787,2070223,201941,172181,1696101,373160,1322941,1795635.1,1607976.2,10332.9,8541.4,1791.4,154434.9,120808.4,3415.5,30211,30012.6,90778.3,238565.4,112803.4,2490.6,6345.5,3195.7,13970,15074.8,34220.3,2684.3,15528.9,14187.3,1472,3634.1,125762.1,14485.4,499.8,482.8,2329.4,1816,45815.1,55397.2,4936.4,139436.6,95101.6,64987.2,15094,4104.8,1046.5,17346.3,1146.9,8742,11633.1,5873.7,67528.8,11263.6,1853.5,45126.5,9285.3,289590,111116.9,40322.2,17053.4,43719.3,10021.9,178473.2,151149.9,27323.3,208414.2,124522.4,20278.8,29745.1,74498.5,25028.4,58863.4,53440.2,5423.2,121234.5,13340.9,107893.6,61778,31467.8,7983.5,6664.2,61951.4,12683.8,7660.5,5023.3,49267.7,8869.6,40398.1,35607.6,187658.9,28922.5,15892.2,142844.2,164767.8,234538.2,94999.8,306094.3,494111.5,1113864.7,1,0.6875,1,60629,28624564,207903
"Utah",2018,61.2487162273124,41,668749,0,0,0,0,305328,22.42,13619,5.706,0,0,4866,8440,44435,326320,1.103,295826,0,211790,37117,50358,23895,893795,844319,0,4963,4963,959,5922,7234,2068131,1577719,490412,15941,474471,20904,2047227,1787636,4285,13135,4983,133674,142948,58012,215368,79658,43837,135655,117752,160999,31453,116208,69303,173008,48047,133283,106028,259591,36134,16133,207324,79708,127616,181622.7,159535,890.3,783.9,106.4,2739.9,715,1598.2,426.7,2421.8,11234.7,19635.1,12666.8,157.6,697.3,1179.5,1375.9,746.8,2298.3,335.4,1202.3,1370.2,635.4,2668.1,6968.4,1780.9,92.2,37.6,551.4,473.6,1848.3,1553.8,630.6,9283.5,12345,6427.5,1854.9,348.6,2.3,2001.4,247.1,67.5,1243,662.6,8601.5,3948,404.2,2483.9,1765.5,41607.8,15764.9,10754.7,1111.8,3460.8,437.6,25842.9,22299.7,3543.2,20045.5,12396.9,1365,3500.1,7531.8,2386.5,5262.1,4880.7,381.5,13049.1,2738.7,10310.4,5179.9,3228,1142.1,760.4,6462,1627.4,804.9,822.5,4834.6,1601.3,3233.4,4791.4,22087.7,5020.1,1512.2,15555.4,3630.2,21628.5,8849.3,28236.6,34500,125035,1,1,1,71414,3155153,61589
"Virginia",2018,110.055488291353,37,2735678,699,129,6898,1214,318949,24.512,13012,5.706,6199,1086,1701,16067,26009,117273,1.052,111476,305826,29,5,159914,8240,901990,2501044,8740,106680,97941,20327,127007,0,5311110,4199504,1111606,37444,1074162,49833,5261277,4377500,14332,10336,11449,292499,254239,121834,496874,207131,83322,232135,238637,573935,81750,321448,112205,509912,114290,379938,321234,883777,199194,135889,548694,165304,383390,533510.4,436980.7,1704.3,1201.6,502.6,1497.9,76.4,1351,70.6,7781.6,21319.1,44847,18897.5,1499.7,1318.1,595.7,2357.3,1797.6,2634.8,994.9,1708.1,4258.3,878.5,854.5,25949.5,17408.4,471.4,96.9,1300.3,761.8,276,3394,2240.9,23173.3,25998,14019.2,3862.7,1028.9,436.9,3098.8,854.4,186.1,2817.5,1733.9,18025.6,4004.4,584.1,8324.5,5112.6,104763,29393.9,16145.4,3787.9,9212.4,248.2,75369.1,71071.4,4297.7,103113.2,70442.1,5522.7,27436.7,37482.7,13178.1,19492.9,18366.3,1126.6,39321.2,5280.6,34040.6,18533.9,9181.6,3498.8,2826.4,18023.3,3747.4,2177.7,1569.8,14275.8,3132.9,11142.9,13394,96529.8,32916.7,19405.2,44207.8,3202.2,49171.2,21800.8,62872.7,69368.4,367612.3,0,0.529411764705882,0,72577,8510920,NA
"Vermont",2018,5.85427986572805,23,493740,0,0,0,0,0,0,0,0,0,0,29,11546,17225,0,0,0,0,0,0,41553,2252,41553,138642,0,24190,24190,137,24327,3399,437913,329216,108697,6438,102259,9294,428619,370717,3437,1150,1481,28653,33734,10368,46577,9382,5880,14236,16269,27840,2342,19245,19077,60015,12416,36237,22378,57902,7023,4131,46748,16841,29907,32981,28237.3,391.7,317.8,73.8,225.5,0,223.5,2,667.7,1097.9,3101.3,1980.6,173.2,139.8,22.4,168.5,353.3,622.4,127.1,39.7,104.1,61.9,168.1,1120.7,619.7,21,29.9,84.8,79,46.1,131.5,108.8,1680.8,2470.6,549.3,20.1,18.6,12.4,227.7,67,0.2,138.8,64.3,817.2,332,20.6,319.9,144.7,6154.8,1829.5,538.9,228.8,1054.3,7.5,4325.3,4146.4,178.9,3402.1,2217.5,317.1,597.7,1302.8,259.6,925,794,131,4635,974.8,3660.2,1583.4,1313.2,351.2,412.4,2265.3,378.9,215.1,163.8,1886.4,1053.3,833.1,778.4,4743.8,1043.9,196.8,3503,617.2,4151.3,1216.9,3918.5,4816.4,23420.9,1,0,0,60782,624802,14461
"Washington",2018,78.658554256577,104,3061489,10049,1850,10049,1850,0,0,0,0,0,0,1136,736362,810926,0,0,0,101502,0,0,937724,1506,1039226,2054390,0,109222,109222,7526,116749,71922,4542520,3613897,928623,31384,897239,84907,4457613,3798898,43611,7039,5629,273402,307317,147689,463324,185236,146567,175198,213385,337059,50043,221759,81350,485037,109998,312232,233023,658715,74890,74118,509707,152480,357227,575416.7,503559.3,7659.7,5138.9,2520.8,552.8,3,508.5,41.4,4381.9,25184,64405.6,47699.9,1411.1,1485.4,933.6,2116.7,1747.6,3972.8,701.1,690.8,32962.4,413.6,1264.8,16705.7,5112.1,159.6,115.8,1332.2,455.4,6462.5,2274.1,794,29195.7,47334.3,15774.1,4511.2,1078.1,769.5,3190,958,89,3955.8,1222.4,74715.2,48667.3,490.1,10940.2,14617.7,103155.8,22500.3,10238.3,3360.4,8781.6,120,80655.4,77002.4,3653.1,59842.9,37803.1,5945.1,10189,21669,7064.9,14974.8,12062.4,2912.5,38591,3215.2,35375.8,18011.4,10296.2,3004.4,4063.8,21821.9,4751.8,2528.2,2223.6,17070.1,4822.3,12247.8,10944.4,71857.4,12657.7,7704.2,51495.5,8212.6,76530,20156,139120.8,97802.2,405757.1,0,0.368421052631579,0,74073,7526793,NA
"Wisconsin",2018,101.172769636702,75,2067441,2953,544,89233,15657,0,0,0,0,86279,15113,615,21777,38588,0,0,0,105900,0,0,232096,1287,337996,1896601,0,95231,95231,9044,104275,14909,3720997,3032198,688799,59479,629320,84453,3636544,3199861,16886,6256,9535,183673,492717,137922,375117,136747,55107,185272,133500,177621,71350,181349,69526,434936,77994,261677,192676,436683,29174,15606,391903,114029,277874,337553.1,301664.2,4682.4,4118,564.4,1992.3,0,1984.7,7.6,5286.7,14172.6,63065.3,36623,1654.1,2224.3,2358.7,7120,8903.1,3202,4068.3,2269.8,2053.1,1074.9,1694.6,26442.4,8888.4,229.7,99.4,4463.6,2514.1,976.6,6015.1,3255.4,20871.1,18318.6,9906.5,459,913.2,20.2,4743.1,1208.9,108.2,1251.7,1202.2,11727.6,5262,224.3,4310.5,1930.8,67230.1,28412.5,6787.4,2890.6,18675.6,59,38817.6,36899.2,1918.4,33124.8,15153.8,2780.6,3233.8,9139.4,9653.8,8317.1,7516.2,800.9,33135.6,3732.1,29403.5,13882.1,9600.8,3175.8,2744.9,10808.7,2632.1,1498.1,1134,8176.6,1678.3,6498.3,7341.7,35888.9,4140.6,794,30954.3,6674.7,39189.7,15193.2,74792.9,83912.7,217751.5,1,0.6,0.5,60773,5809319,5371
"West Virginia",2018,89.1447955314768,48,946699,0,0,0,0,2468639,25.847,95510,5.706,0,0,32,16821,33107,2159553,1.219,1771698,0,72689,12739,45418,140,4746299,831311,0,12087,12087,225,12311,16114,897415,730807,166608,21570,145038,23147,874268,721502,3147,29678,5476,53609,49612,22303,101057,27371,10107,27021,26635,40724,7816,45204,13267,126222,14848,70614,46791,152766,23585,8314,120867,51057,69810,77632.5,65459.5,344.9,223.1,121.8,7807.5,2929.5,4328.6,549.3,2200.8,4467.8,8043.5,3521.5,392.5,385.8,713.8,424.1,157.2,73.3,53.2,688.1,414.7,48.2,170.5,4522,199.7,7.6,8.5,43.7,62.7,838.2,3064.7,296.8,3858.9,5106.6,2231,22.9,493.9,48.6,822.1,21.6,257.1,372.1,192.7,1417.9,313.2,27.1,894.4,183.2,10391.7,2765.5,1052,210.7,1495,7.8,7626.2,6868.7,757.6,6446.2,3585.8,1288.3,512.2,1785.2,797.4,2063,1768.6,294.4,8607.3,440.6,8166.7,3501.9,3396.8,763.9,504.1,2956.6,416.4,128.6,287.9,2540.2,831.1,1709.1,1578.8,12173.1,3395,382,8396.1,8152.3,8965.5,4431.8,9461.4,20663.6,44795.9,1,1,0.5,44097,1805953,NA
"Wyoming",2018,63.8460806647067,53,573639,0,0,0,0,5315953,17.476,304188,5.706,0,0,663,8883,46550,1842525,1.125,1637517,0,502031,87983,51483,67,7711992,557604,0,4934,4934,0,4934,36936,404465,291670,112795,10579,102216,14485,389980,315929,3370,25823,2631,28549,12166,9359,38383,15033,4684,20095,24534,18444,1918,14116,4087,30637,8148,35661,18291,74051,7541,6059,60451,15248,45203,39703.2,33283.5,684.6,613,71.6,7537.9,2554.8,3776.6,1206.4,1021.6,2059.7,2289.5,510.6,35.5,150.4,13,159.7,54.3,38,21.1,13.3,8.6,7.4,9.2,1778.9,99.7,11.3,0.5,0,12,1040.5,573.2,41.8,1487.5,2026.6,3957.4,37.1,1413.3,19.9,402.4,30.4,1721.6,236.6,96,634.5,110.3,25.6,420.7,77.9,5505.4,1072.8,567.6,76.7,383.9,44.7,4432.6,3903.4,529.2,1949.7,1242.7,192.8,147.3,902.6,126.4,580.7,496,84.7,1855,121.4,1733.6,969.1,312.9,205,246.6,1644.7,290.3,87.4,202.9,1354.4,729.2,625.3,629.4,6419.7,935,424.7,5059.9,8222.4,3514.2,4979,2923.9,12571.6,20711.9,1,1,1,61584,579054,NA
"Alaska",2019,34.2594403132119,32,13734021,0,0,0,0,14867,15.252,975,5.698,0,0,186,14456,15951,364363,1.106,329361,0,968358,169947,22754,40,1370342,605689,0,6418,6418,386,6803,1270,459788,358567,101221,919,100302,1451,458337,355966,10598,15393,2298,23996,15800,7585,44552,25748,6440,11763,18145,23944,3547,17475,5895,53422,11268,36833,21264,102371,14866,25806,61699,23214,38485,54385.6,42797.3,394.4,24.9,369.5,7363.7,4731.1,1566.9,1065.7,849.5,2057.3,1831.6,244.1,47.2,55.3,1.5,41.7,13,19.5,1.6,5,39.3,9.6,10.5,1587.5,821,3.4,1,0.5,21,726.3,8.9,5.4,1516.9,2357.7,7488.5,981.8,0,312.6,322.2,126.3,4822.3,886.2,37,1116.8,58,26.5,964.9,67.4,6908.4,1429,925.9,106.1,392.7,4.3,5479.4,4902.5,577,3364.9,1927.7,189.8,188.1,1549.7,386.3,1050.8,805.5,245.4,4646.1,212.6,4433.5,2314.8,1498.4,195.6,424.7,1964.2,340.3,117.5,222.8,1624,672.2,951.8,937.4,11588.3,2220.2,2363,7005.1,7758.1,3874.6,8337.9,2948.4,11646.9,31150.4,1,1,1,75463,733603,NA
"Alabama",2019,106.250751603123,54,840218,1494,275,1494,275,350506,24.816,14124,5.698,0,0,141,101563,105332,138425,1.064,130069,455865,27687,4859,278142,3628,1250624,1926332,5308,169739,164431,1577,171316,0,2735740,2127180,608560,34596,573964,41785,2693955,2284834,16515,9299,13673,153527,279742,82980,283529,90046,28129,118803,114475,159330,19603,189764,41819,258399,43059,203808,178334,409121,54134,29000,325987,109365,216622,228142.6,189941.9,1936,1255.8,680.2,2364.8,209.7,2059.7,95.4,6280,8618.5,38400.4,24119.9,1798.1,1091.1,3731.1,2907.5,1146.4,1187.2,754.1,6209.8,3761.5,917.9,615,14280.5,2499,465.2,103.5,2928.4,214.5,2106.2,4019.2,1944.6,13439.8,15133.4,6651,218.6,766.9,82.2,2708.4,97.9,600.1,1388,788.9,4708.9,1108.6,137.3,2943.2,519.8,37882.5,13310.5,7436.4,965.3,4891.5,17.3,24572,22530.8,2041.2,23028.8,14420.6,2661.6,3184.7,8574.3,2251.9,6356.3,5724.8,631.5,18617,1398.5,17218.5,10379.1,4272.2,1722.4,844.8,7099.8,869.7,334.9,534.8,6230.2,1093.2,5137,5780.9,38200.8,9039.7,5071.4,24089.7,4300.8,28573.3,12930.9,43109.3,51319.7,138622.1,1,0.857142857142857,0.5,51734,4907965,NA
"Arkansas",2019,65.0722024171453,302,60034678,8589,1581,8589,1581,0,0,0,5.698,0,0,808,36819,39884,534585,1.019,524757,141750,27538,4833,133513,2256,837386,1096477,8833,81001,72168,4040,85041,0,1673743,1304362,369381,38277,331104,52433,1621310,1395780,15076,9834,8018,93089,167950,51987,168641,75800,14474,66302,64065,71479,35889,95460,23374,197796,23587,118450,94509,225530,20352,15022,190156,80573,109583,130954.1,114161.7,1917.5,1290.8,626.8,1109.9,528.9,400.8,180.2,3535.8,5120.8,19556.1,9688,1106.7,498.5,1743.3,2002.6,1472.9,295.5,476.1,532.4,1096.8,250.7,212.5,9868.2,4100.3,71.9,82.3,2110.5,283.7,817.5,1073.8,1328.2,10213.1,9054.6,5593.2,144,812.3,5.6,3135.8,81.8,94.7,823.9,495,2313.4,403.8,98.6,1291,520,21113.6,6623.9,3345.6,440.7,2816.2,21.4,14489.8,13403,1086.8,14325.9,4933.3,815.3,1189.5,2928.5,5694.2,3698.4,3235.9,462.5,12517,860.6,11656.5,5791,3412.9,1240.7,1212,4616.3,647,309.3,337.7,3969.3,725,3244.3,3174.4,16792.4,2608.8,873.9,13309.7,3027.5,19267.7,9128.9,21869.5,27704.4,86457.4,1,1,1,48952,3020985,37939
"Arizona",2019,92.5370252857346,29,95135122,0,0,3026,531,82222,21.398,3843,5.698,3026,531,345,55251,133794,68,1.032,66,333312,40,7,148194,73262,563836,1556416,0,10949,10949,425,11374,4937,3969347,3048198,921149,17856,903293,29799,3939548,3480754,16268,19406,12749,234021,192125,112782,397348,176543,61298,267352,229393,261327,39601,322824,81329,449314,90754,307895,208425,458794,56554,34735,367505,94448,273057,370119.1,324164.2,2839.9,2196.9,643.1,5367.6,12.7,5213.4,141.5,7096,18551.9,30969.6,25651.7,354.7,1028.8,791.6,2240.2,1028.5,8655.4,552.2,748.3,8112.8,440.8,1698.5,5318,2217.7,99.1,29.4,279.5,527.1,125.7,1325,714.4,20155,25566.9,11984.8,3899.2,877.8,0.3,2590.8,777.5,138.1,2211.2,1490,13084.2,2569.7,296.1,7362.8,2855.7,85227.7,26729.5,13406.7,3348.3,9176.4,798.1,58498.3,52916,5582.3,42204.9,21400.6,3054.1,5144.1,13202.3,4091,16713.3,15621.3,1092.1,36027.9,4207.8,31820.1,16954.4,9846.3,2700.1,2319.3,17675.4,3994.5,2480.1,1514.3,13681,3641.4,10039.5,7412.2,45955,8118.6,4177.7,33658.6,8207.5,45721.9,19080.8,44053.9,57729,266435.1,1,0.444444444444444,0.333333333333333,62055,7291843,442378
"California",2019,358.164373299367,609,158244985,5491,1011,31877,5643,0,0,0,5.698,26386,4632,99329,341549,968843,220789,1.122,196823,168799,890882,156350,1140051,405654,2420522,7790111,0,98358,98358,40974,139332,122311,24602061,18598619,6003442,57636,5945806,238592,24363469,21525859,261864,38499,59126,1234241,1425642,782284,2059415,1219163,645770,1127472,1251248,2154279,288961,1544512,556247,2797215,712728,1869267,1497926,2837610,248689,204524,2384397,563115,1821282,3132800.6,2785470.7,39295.6,26061.7,13233.9,8837.6,5814.2,1630.3,1393.1,41686,119484.5,324429.2,201735.1,2552.8,4868.6,1964.4,14716.2,14634.6,110340,5487,7284,20688.7,2665.5,16533.2,122694.1,29223.3,1153.2,3070.2,2977.8,3520.8,20821.2,56945.5,4982.1,166877.7,154425.5,89883.6,19752.6,1763.3,1649.4,19605.2,16301,660.1,19759.8,10392.1,300506.9,73360.2,44245.5,75713.3,107188,693026.9,154660.1,72174.5,38077.3,42129.9,2278.4,538366.8,503797.7,34569.1,418863.3,281800.8,38682.2,80525.5,162593.1,46791.5,90271,82209.2,8061.8,229120.2,33916,195204.3,102307.5,50801.6,16384.4,25710.7,139753.3,44527.5,31053.9,13473.6,95225.8,21760.3,73465.6,59280.4,347329.9,46455,29200.5,271674.4,48133.1,321303.2,131569.6,624936.2,492046.9,2293423.8,0,0.148148148148148,0,80440,39437610,2695420
"Colorado",2019,91.7273466376501,96,10796826,0,0,18725,3287,270466,21.018,12868,5.698,18725,3287,759,16127,130306,2394039,1.205,1986916,0,1096198,192383,167095,16780,3927798,1566652,0,16968,16968,1095,18063,96640,3949744,2916438,1033306,35246,998060,48211,3901533,3390707,14831,48402,8769,270426,168466,122069,341493,153267,91283,229000,235182,369857,50865,217681,78477,356021,115449,309821,209348,510826,53124,53846,403856,127587,276269,392986,345536.8,2970.4,2550.9,419.5,12074.8,8165.1,1288.5,2621.2,4225.3,22845.1,26523.7,16698.7,323.5,1536.4,343.7,1734.8,1554.7,5912,514.2,124.3,2245.3,598,1811.9,9825.1,4288.8,94.3,37.8,108.5,455.2,1608.4,2469.3,762.8,21936.9,20433.4,14574.6,5138.3,762.8,1.1,2450,582.1,3044,1783.2,813.1,22844.8,7431.3,466.1,9907.2,5040.1,80882,21638.6,8937.5,4759.5,7681,260.6,59243.4,55327,3916.4,59286.6,38772,3953.5,11110.5,23708,8352.6,12162,10938.4,1223.5,27816.4,3453.2,24363.1,13969.3,5888.7,2174.7,2330.4,20168.3,6400.9,2786.5,3614.4,13767.5,3866.5,9900.9,8954.5,47449.2,9412.1,5258.6,32778.4,15045.2,42370.3,18799.9,49368.5,64414.1,281122.8,0,0.428571428571429,0.5,77127,5758486,128553
"Connecticut",2019,36.6316617252126,19,1306178,2359,434,2359,434,0,0,0,0,0,0,21,3811,11485,0,0,0,174730,0,0,37172,7545,211902,735517,0,14328,14328,9000,23328,109,2331726,1750171,581555,5023,576532,9611,2322115,2069441,2402,1889,5595,116013,171155,67138,212628,80323,38852,193042,124988,166030,37671,123192,90575,311169,58325,144079,124375,252674,18251,13638,220785,74737,146048,287822.2,259572.7,389.2,344.4,44.8,192,0,188.4,3.6,4827.9,8513.9,29662.8,21264.5,93.1,279.1,445.9,4148,1848.5,1929.6,1148.1,414.5,8115.5,192.3,2649.8,8398.4,1511.7,154.2,37.4,342,459.6,292,5014,587.4,14438.2,14469.9,5645.6,491,48.7,186.3,909.1,906.1,1068.7,1220.9,814.8,16143.3,2521.9,1753.6,10222.6,1645.1,85421.9,42414.8,6484.9,12581.7,22996.8,351.4,43007.1,36683.8,6323.3,34722,20048.6,3142.7,4190.2,12715.8,6994,7679.4,6736.5,942.9,29955.9,6868.8,23087,10834.6,6513.6,3453.2,2285.8,9544.2,2562.4,1267.6,1294.8,6981.9,1276,5705.9,5645.9,28249.5,3136.7,3291.5,21821.3,581.1,28908.1,10473.5,45806.1,38757.9,220814.8,0,0,0,78833,3566022,109228
"Delaware",2019,13.5895751555378,40,1485254,0,0,0,0,0,0,0,0,0,0,430,0,2105,0,0,0,0,0,0,3611,1628,3611,298616,0,789,789,716,1506,47,606694,478205,128489,1886,126603,3309,603385,528352,NA,NA,2145,33332,28841,12565,61455,23150,5613,63535,30759,38739,10597,36838,9923,78828,15888,46278,28406,75033,5751,8681,60601,32787,27814,77082.4,69200.9,500.3,466.9,33.4,6.2,0,5,1.2,1069.4,3014.4,4856.2,1504,24.3,74.4,21.9,165,132.9,592.2,172.8,14.8,94.7,30.2,180.6,3352.2,931.1,63.7,1.6,182.8,26.3,723.4,1155.7,267.6,2000.8,2890.4,1257.3,38.1,134.5,3.4,271,108.9,4.1,384.6,312.6,1033.1,200.3,19.2,545.1,268.5,34257.8,21796.3,13553.8,1719.1,6481,42.3,12461.5,7741.5,4720,8751.6,4958.9,1844.6,761.3,2353,1858.5,1934.3,1754.1,180.2,6273.6,464.3,5809.3,2038.4,2702.1,622,446.8,2206.3,437.8,111.3,326.5,1768.5,394,1374.6,1083.6,7881.5,843.4,614.7,6423.4,506.5,4891.1,2326.7,5889.3,8377.1,60823.8,0,0,0,70176,976668,NA
"Florida",2019,233.552779507352,53,52936642,920,169,920,169,0,0,0,5.698,0,0,10056,1869,80308,1295,1.516,854,303946,11037,1937,248107,68383,564385,4371666,11065,108140,97075,58739,166879,0,12857048,9338828,3518220,38701,3479519,78475,12778573,11573978,63459,16214,24466,800556,431004,404987,1319374,611564,184149,788450,836703,937969,155851,1012977,242293,1390255,385786,1103541,864380,1204595,143148,92838,968609,254521,714088,1106500.1,987178.8,6452.8,4172.3,2280.5,1485.8,30.7,1379.3,75.8,18556.8,60532.1,58881.3,36031.3,1191.8,3565.1,2015.1,3831.4,3617.4,8743.7,1208.4,599.5,5972.4,907.2,4379.3,22850,7053,290.1,258.3,1784.5,1483.9,1838.9,8721.1,1420.4,77370.2,78001,39538.5,13149.1,912.4,4043.8,7096.9,1216.9,115.5,9608.8,3395.1,43694,8636.7,1854.1,24702.5,8500.8,256830.6,67153.5,20246,11732.7,34469.6,705.1,189677.2,171277.3,18399.9,144740.2,82243.2,18165.5,14714.2,49363.5,18114.8,44382.2,41339.3,3042.8,104422.6,11350.4,93072.2,51410.2,27402.6,8807.5,5451.8,67369.9,17887,7236.7,10650.2,49483,17351.8,32131.2,29302.9,119321.3,19625.4,10949.5,88746.4,7938.6,155371.2,58095.4,102575.4,127351.9,859826.8,1,0.518518518518518,1,59227,21492056,1535081
