"State","Year","CO2 Emissions (Mmt)","TotalNumberofInvestments","TotalAmountofAssistance","BDFDB","BDPRP","BFFDB","BFPRP","CLPRB","CLPRK","CLPRP","COPRK","EMFDB","ENPRP","GETCB","HYTCB","NCPRB","NGMPB","NGMPK","NGMPP","NUETB","PAPRB","PAPRP","REPRB","SOTCB","TEPRB","TETCB","WDEXB","WDPRB","WDTCB","WSTCB","WWPRB","WYTCB","Total employment (number of jobs)","Wage and salary employment","Proprietors employment","Farm proprietors employment","Nonfarm proprietors employment 2/","Farm employment","Nonfarm employment","Private nonfarm employment","Forestry, fishing, and related activities.x","Mining, quarrying, and oil and gas extraction.x","Utilities.x","Construction.x","Manufacturing.x","Wholesale trade.x","Retail trade.x","Transportation and warehousing.x","Information.x","Finance and insurance.x","Real estate and rental and leasing.x","Professional, scientific, and technical services.x","Management of companies and enterprises.x","Administrative and support and waste management and remediation services.x","Educational services.x","Health care and social assistance.x","Arts, entertainment, and recreation.x","Accommodation and food services.x","Other services (except government and government enterprises).x","Government and government enterprises.x","Federal civilian.x","Military.x","State and local.x","State government","Local government","All industry total","Private industries","Agriculture, forestry, fishing and hunting","Farms","Forestry, fishing, and related activities.y","Mining, quarrying, and oil and gas extraction.y","Oil and gas extraction","Mining (except oil and gas)","Support activities for mining","Utilities.y","Construction.y","Manufacturing.y","Durable goods manufacturing","Wood product manufacturing","Nonmetallic mineral product manufacturing","Primary metal manufacturing","Fabricated metal product manufacturing","Machinery manufacturing","Computer and electronic product manufacturing","Electrical equipment, appliance, and component manufacturing","Motor vehicles, bodies and trailers, and parts manufacturing","Other transportation equipment manufacturing","Furniture and related product manufacturing","Miscellaneous manufacturing","Nondurable goods manufacturing","Food and beverage and tobacco product manufacturing","Textile mills and textile product mills","Apparel, leather, and allied product manufacturing","Paper manufacturing","Printing and related support activities","Petroleum and coal products manufacturing","Chemical manufacturing","Plastics and rubber products manufacturing","Wholesale trade.y","Retail trade.y","Transportation and warehousing.y","Air transportation","Rail transportation","Water transportation","Truck transportation","Transit and ground passenger transportation","Pipeline transportation","Other transportation and support activities","Warehousing and storage","Information.y","Publishing industries (except Internet)","Motion picture and sound recording industries","Broadcasting (except Internet) and telecommunications","Data processing, hosting, and other information services","Finance, insurance, real estate, rental, and leasing","Finance and insurance.y","Monetary Authorities- central bank, credit intermediation, and related services","Securities, commodity contracts, and other financial investments and related activities","Insurance carriers and related activities","Funds, trusts, and other financial vehicles","Real estate and rental and leasing.y","Real estate","Rental and leasing services and lessors of nonfinancial intangible assets","Professional and business services","Professional, scientific, and technical services.y","Legal services","Computer systems design and related services","Miscellaneous professional, scientific, and technical services","Management of companies and enterprises.y","Administrative and support and waste management and remediation services.y","Administrative and support services","Waste management and remediation services","Educational services, health care, and social assistance","Educational services.y","Health care and social assistance.y","Ambulatory health care services","Hospitals","Nursing and residential care facilities","Social assistance","Arts, entertainment, recreation, accommodation, and food services","Arts, entertainment, and recreation.y","Performing arts, spectator sports, museums, and related activities","Amusement, gambling, and recreation industries","Accommodation and food services.y","Accommodation","Food services and drinking places","Other services (except government and government enterprises).y","Government and government enterprises.y","Federal civilian.y","Military.y","State and local.y","Natural resources and mining","Trade","Transportation and utilities","Manufacturing and information","Private goods-producing industries 2/","Private services-providing industries 3/","Region","Party","Representative","Senator"
"New Hampshire",1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38211.6,33808.8,132,76.1,55.9,11.1,0,8.2,2.9,902.1,1398.1,8563.3,6830.4,151.4,176,202.1,794.4,550.3,3766.1,511,206.2,46.5,54.6,371.8,1732.9,296.6,134.1,154.2,371.2,242.1,44.8,113.3,376.6,2357.9,3653.8,535.3,25.3,28.4,1.1,220.1,56.5,1.8,135,66.9,1031.3,514.8,29.2,414.4,72.9,6822.2,2006,507.1,252.1,1233.4,13.4,4816.2,4582.3,233.9,3052.9,1831,320.7,366.7,1143.7,488,733.9,651.6,82.3,3015.8,599.4,2416.5,1144.1,791.8,286.7,193.9,1362.3,339.7,129.8,209.9,1022.6,336.2,686.4,970.6,4402.7,656.8,1009.6,2736.4,143.1,6011.7,1437.4,9594.6,10104.6,23704.2,"Northeast",NA,NA,NA
"New Hampshire",1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40566.7,36045.2,135.9,77.2,58.7,20.2,0,16.5,3.7,846.3,1633,8549.9,6887.1,149.6,205.9,238.4,816.2,633.1,3482.8,627.2,216.9,48.9,67.4,400.8,1662.8,280.9,122.6,131.2,309.2,248.2,60.6,119.7,390.3,2531.6,4109.2,628.3,38.4,31.3,1.3,234,81.8,2.5,147.1,91.9,1218.6,648.1,37.5,442.9,90.1,7160.9,2299.7,580.7,357.8,1334.3,27,4861.1,4584.7,276.5,3474.1,2088.9,370.4,448.3,1270.3,610.5,774.7,673.4,101.3,3193.8,616.3,2577.5,1237,830.3,296.2,214,1446.7,348.1,145.6,202.5,1098.7,376.7,721.9,1096.7,4521.5,665.5,988.2,2867.8,156,6640.8,1474.6,9768.5,10339,25706.2,"Northeast",NA,NA,NA
"New Hampshire",1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41873.3,37112,151.6,80.8,70.7,25,0,20,5,909,1781.8,7239.6,5406.8,167.4,211.8,203.8,907.5,618,2012,569,218.9,50.8,68.2,379.6,1832.9,328.1,127,136.5,361.3,266.3,40.7,188.2,384.9,2649.8,4387.3,720.9,66,34.3,1.2,262.4,96.7,6.9,143.3,110,1472.8,881.5,67.8,430.6,93,7790.5,2449.2,623.1,416.2,1382.7,27.1,5341.3,4981.6,359.7,3801.3,2310.6,393,506.5,1411.1,647.1,843.6,732.4,111.1,3421.1,675.3,2745.8,1334.6,860.9,309.6,240.7,1600,386.6,162.1,224.5,1213.4,415.6,797.8,1161.3,4761.3,673.7,1008.1,3079.5,176.6,7037.1,1629.9,8712.5,9198,27913.9,"Northeast",NA,1,1
"New Hampshire",2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45222.8,40199.3,155.3,81.7,73.6,30.1,0,24.8,5.2,865.6,2025.1,7678.8,5863.3,218.2,217.3,221.2,1006,616.6,2210.4,639.4,226.1,57.9,72.4,377.7,1815.5,358.2,93.7,114.2,368.4,221.2,43.7,174.5,441.5,2938.5,4772.4,800,77.2,35.4,2,293.4,99.6,6.1,165.7,120.7,1344.2,744.1,41,479,80,8295.4,2675.4,650.7,481.3,1503,40.5,5620,5196.8,423.1,4450.6,2623.6,440.3,599.1,1584.2,819,1007.9,881.8,126.1,3731.9,750,2981.9,1451.2,938.9,320.5,271.3,1806.8,449.5,204.6,245,1357.2,465.7,891.5,1304.6,5023.5,721.6,1000.8,3301,185.4,7710.9,1665.6,9023,9889.3,30310,"Northeast",NA,1,1
"New Jersey",1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,307689,275080,590.3,432.5,157.8,195.5,3,187.4,5.1,6712.1,10573.9,45032.5,13658.2,211.2,1126.4,798.1,2145.2,1700.8,3149.5,771.4,1218.3,231.1,392.6,1913.6,31374.3,3911.8,765.2,697,1695,1532.1,2962.6,18179.2,1631.4,26395.1,19809.2,10454,1413.9,68.1,636.6,3034,1147.8,41.7,2705.7,1406.1,16577.3,4354.1,642.4,9532.4,2048.5,63099.7,18155.5,3834,5188.1,8806.9,326.5,44944.2,41474.7,3469.5,37772.7,23769.9,3412.6,4874,15483.3,5520.1,8482.7,7596.3,886.4,20616.8,2319.9,18296.8,9108.3,6296.8,1786.3,1105.5,10712.2,2015.8,909.4,1106.5,8696.3,5201.6,3494.8,6538.5,32609,4842.2,1449.9,26317,785.9,46204.3,17166.1,61609.8,56392.2,218687.7,"Northeast",NA,NA,NA
"New Jersey",1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,319679.8,285786.5,565.8,435.8,130,224.9,1.5,218.2,5.1,6256.6,11296.3,44139.8,13924,283.1,1180.7,768.6,2163.6,1951,2904.1,631.3,1329.2,239.4,406,2066.9,30215.8,3632,834.7,633.1,1456.9,1653,2702,17672.3,1631.8,27993.6,21397.5,10975.9,1627.9,107.7,532,3005.3,1167.6,67,2827.9,1640.6,16234.7,4188,782.2,9266.3,1998.3,66746.3,20335,4497.1,5463.3,9811.5,563.2,46411.2,42347.8,4063.4,41020.6,25775.9,3578,5759.4,16438.4,6358.9,8885.8,7916.1,969.7,21643.8,2429,19214.8,9454.7,6560.5,1963.3,1236.3,10356.8,2053.3,921.5,1131.8,8303.5,4510.1,3793.4,6934.1,33893.2,4863.2,1450.9,27579.2,790.6,49391.1,17232.5,60374.6,56226.7,229559.8,"Northeast",NA,NA,NA
"New Jersey",1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,336470.9,301180.2,526.8,386.9,139.9,231.4,1.8,225,4.6,6770.9,12263.7,47120.2,14226.9,215,1242.5,736.2,2347.1,1798.6,2965.5,736.7,1349.1,246.7,412.2,2177.2,32893.3,4404.7,834.7,523.3,1704.5,1741.6,3128.4,18871.5,1684.6,28771.9,22195.5,10921.3,1749.3,81,441,3211.5,1241.2,68.9,2602.2,1526.1,17145.5,5073,1200.7,9579,1292.8,70208,20924.6,5397.5,5599.6,9259.2,668.3,49283.4,44687.2,4596.3,43898.2,27395.5,3692.6,6255.6,17447.2,6928.1,9574.6,8474.8,1099.8,22885.4,2702.9,20182.5,9816.2,6832.4,2089.1,1444.8,10933.4,2102.4,957.5,1144.9,8831,4688.5,4142.5,7308,35290.7,4990.5,1486.9,28813.3,758.2,50967.4,17692.2,64265.7,60142.1,241038,"Northeast",NA,0.4117647,0
"New Jersey",2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,361845.3,324752.5,651.5,491.3,160.1,257.8,3.4,248,6.4,6080.3,14064.3,49873.1,16599.1,262.2,1435.9,859.3,2489.5,1710.6,4493.1,649.7,1509.8,340.2,524.6,2324.1,33274,4262.5,820.7,922.2,1688.9,2014.1,3892.3,17952.8,1720.5,32737.6,24120.3,11905.1,1838.4,80.9,478.8,3486.5,1317.3,53.6,2934.9,1714.7,16771.9,4567.8,698.4,10719.3,786.4,75005,23216.8,5691.3,6022.3,10816.7,686.4,51788.3,46537.5,5250.8,48028.2,29339.2,4031,6191.4,19116.8,7871.4,10817.6,9568.2,1249.4,24826,2944.8,21881.2,10763.5,7087.4,2285.1,1745.3,12150.1,2329.7,1065.8,1263.9,9820.4,5260.6,4559.9,8281.2,37092.8,5321,1518.7,30253.1,909.3,56858,17985.4,66645,64846.7,259905.8,"Northeast",NA,0.4117647,0
"New Mexico",1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52502.5,40783.8,885.6,792.2,93.4,2646.2,1476.9,816.9,352.5,945.8,1829.2,10915.4,9991.7,50.6,144,82,120.1,72,9067.1,37,123.1,108.3,35,152.6,923.6,250.7,30.3,30.8,30.4,46.8,447.1,48.8,38.6,2087.3,3322.9,1108.6,163.9,253.7,7.8,329.9,82,67.3,176.7,27.3,1424,441.9,44.9,858.3,78.9,6213.7,1491.7,780,147.8,558.4,5.5,4722,4404.1,317.9,3846.7,2612.2,331.2,192.6,2088.3,263.8,970.7,857.2,113.5,2539.1,215.1,2324,1132.4,614.9,252.3,324.4,1668.2,252.7,120.6,132.2,1415.5,373.5,1041.9,1351,11718.7,3915.5,2001.3,5801.9,3531.9,5410.2,2054.4,12339.4,16276.5,24507.3,"West",NA,NA,NA
"New Mexico",1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50674.9,38542.1,872,779.6,92.3,2243.9,1128.4,781.7,333.8,892.1,1918.8,7909.9,6716,51.9,163.2,74,112.2,91.3,5735.3,34.5,117.2,103.6,35,197.8,1193.9,240.9,19.1,11.9,31.7,54.1,604.7,55.4,176.2,2161.8,3507.3,1307.2,164.7,302.3,8.1,381.9,86.3,136.8,189.5,37.5,1471.1,416.5,59,898.8,96.8,6451.8,1588,791.8,146.9,639.9,9.5,4863.8,4517,346.8,3967.6,2676.8,349.6,217.8,2109.4,302.5,988.3,869.5,118.8,2752,220.8,2531.1,1177.6,744.1,268.9,340.4,1706.4,288.6,155.6,132.9,1417.9,381.2,1036.7,1380.2,12132.8,4007.3,1945.3,6180.3,3115.9,5669.1,2199.3,9381,12944.6,25597.5,"West",NA,NA,NA
"New Mexico",1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53082.3,40563.4,910.6,818.4,92.2,2232.6,1294.2,690.6,247.7,972.2,1944.3,8802.2,7530.6,56.8,204.5,48.3,119.8,95.2,6476.8,55.2,171.2,113.1,35.3,154.3,1271.7,418.9,27.3,18.9,35,98.5,427.8,77.8,167.7,2095.9,3612.4,1314.4,149.2,302.5,8.5,408.7,91.4,135.8,172.7,45.8,1501,463.8,73.9,896.8,66.6,6866.7,1618,823.2,132.3,649.9,12.6,5248.7,4874.7,374,4182.7,2772.6,353.4,201,2218.2,299.4,1110.7,978.5,132.2,2865.1,252.2,2612.9,1238,736.5,263,375.4,1833.9,304.1,155.4,148.7,1529.8,418.7,1111.1,1429.4,12518.9,4022.5,1916.1,6580.3,3143.2,5708.3,2286.7,10303.2,13889.7,26673.7,"West",NA,0.5,0.5
"New Mexico",2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55239.7,42132.2,841.5,739.7,101.8,3212.9,2208.3,624.8,379.8,952.4,2284.5,7576.2,6372,51.7,171,31.8,130.2,126.2,5353.3,57,148.8,126.7,37.7,137.7,1204.1,345.2,23.6,20.3,35.4,56.8,477,99.5,146.3,2142,3702.4,1392.5,131.6,347.7,11,467.8,95.5,103.7,188.9,46.3,1564.5,484,74.7,971.1,34.7,7220,1671.7,805.3,131.2,723.3,12,5548.3,5147,401.3,4616.3,2999.5,385.7,237.4,2376.4,330,1286.9,1137,149.9,3084.1,264,2820.2,1373,750.5,279.6,417,2052.4,363.1,192,171.1,1689.3,448.4,1240.8,1490.5,13107.5,4190.1,1938.4,6979,4054.4,5844.4,2344.9,9140.7,13915.1,28217.1,"West",NA,0.5,0.5
"New York",1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,718804,636847.6,1406.7,1121.9,284.8,354.7,12.6,319.3,22.8,13268.2,17575.4,58439.3,31031.6,434.5,2383.1,1086.3,4096.7,7311.5,5273.9,2255.6,2802.3,983.5,876,3528.2,27407.7,5725.5,1353.5,3362.7,1887.3,2519,585.1,9945.4,2029.2,40148.5,37493.1,15283.5,3657.1,284.5,502.4,2854.5,3414.5,48.1,3682.4,840.1,51736.5,12600.4,7896.7,28771.4,2468,222755,125737.2,53770,49148.3,21452.2,1366.6,97017.8,83934.6,13083.2,82070.3,54128.7,17970.7,5077.4,31080.7,12535.3,15406.3,14064,1342.3,56267.2,10638,45629.2,18619.7,15740.4,5528.6,5740.6,23097,6999.2,4965.6,2033.7,16097.8,4653.9,11443.9,16952.1,81956.4,11510.3,3285.6,67160.5,1761.4,77641.6,28551.7,110175.8,77776.1,559071.5,"Northeast",NA,NA,NA
"New York",1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,744716.1,658205,1564.3,1319.2,245.1,390,9.9,359.2,20.8,12728.8,18787.5,61905.7,33548.6,449.4,2367.6,1293.1,4435.8,8393.2,5766.1,1762.9,3461.5,1110.3,978.4,3530.2,28357.1,5450.2,1503.1,3099.7,2173,2727.8,620.5,10630.3,2152.6,42064.1,39115.1,15418,3661.2,447.2,498.7,2798,3343.8,80.2,3701.9,886.9,55606,13281.1,10008,29391.1,2925.9,224729.6,127102.6,55476.4,46236.6,22540.1,2849.6,97627,85542.6,12084.4,86530.4,55371,17618.7,5898.2,31854.2,13878,17281.4,15925,1356.4,58111.4,11404,46707.4,18767.3,16191.1,5853.5,5895.6,24243.1,7221.6,5239.4,1982.2,17021.5,5224.2,11797.3,17011.1,86511.1,11675.3,3323.2,71512.6,1954.2,81179.2,28146.7,117511.7,82647.4,575557.6,"Northeast",NA,NA,NA
"New York",1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,792569,700627.2,1601.9,1344.3,257.6,425,6.7,399.4,18.9,13452,21542.1,62810.9,33211.1,439.2,1992.3,1293.1,4336.1,8359,4722.4,1809.9,3327.1,2110.7,1062.3,3759,29599.9,6151.8,1303.6,2945.5,1892.5,2961.6,696.6,11593,2055.2,42888.2,40693,15929.8,3735.7,421.2,470.1,3029.2,3701,84.1,3664.9,823.7,61367,15555.6,12642.7,30926.9,2241.8,239108.7,134055.2,63787.8,44400.5,21954.6,3912.3,105053.4,91261.6,13791.8,94211.8,61043.6,19344.3,6539.2,35160.2,14390.6,18777.5,17387.3,1390.2,61668.8,12060.3,49608.5,20044.5,16589.1,6311.3,6663.5,26995.7,7980.7,5816.6,2164,19015.1,5929.6,13085.5,17932.3,91941.8,12161.2,3380.6,76400.1,2026.9,83581.2,29381.8,124178,86379.9,614247.3,"Northeast",NA,0.35,0
"New York",2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,836201.5,739969.5,1632.6,1366,266.6,427.4,10.8,393.7,23,13253.2,24657.8,64948,33198.7,503.6,2151.8,1440.3,4537.2,7270.6,6580.2,1533.7,3210.6,1541.5,1114.2,3315.2,31749.3,5822.8,1376.3,2799.2,1974.3,3010.8,897,13815.9,2053,45343.2,42164.9,16780.9,3646.7,403.3,587.3,3155.3,3869.8,62.4,4154.2,902,61324.1,13050,12732.3,33617.8,1924.1,252776.3,143236.4,65055.9,48398.1,26693,3089.4,109539.9,95237.7,14302.2,103513.1,65214,20209.6,7119.8,37884.6,17232.7,21066.4,19546.3,1520.1,64556.8,13056.4,51500.4,20834.8,17071.6,6627.8,6966.2,29677.1,8425.7,6072.7,2353.1,21251.4,6786.1,14465.2,18914,96232.1,12967.6,3484.3,79780.1,2060,87508.1,30034.1,126272.1,91665.8,648303.7,"Northeast",NA,0.35,0
"North Carolina",1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,234009.7,204466.4,4280.2,3789,491.2,432.2,5.7,417.4,9.1,5428.6,10540.4,63123.6,25227.7,1433.2,1896.1,605.1,2551.4,2470.2,7091.1,3269.3,1759.4,317.9,2730.2,1103.7,37895.9,11871.6,5983.1,2147.6,1667.7,764.8,197.1,12503,2761.1,13360.1,15846,6511.7,1364.5,220.8,107.2,2760.3,144.6,8.7,1357.9,547.7,7298.1,1733.6,163.9,4566.6,834.1,33294.1,10638.8,5514.7,1118.8,3991.7,13.5,22655.3,20750.1,1905.2,17966.2,9541,1579.8,1418.1,6543.1,3214.9,5210.3,4885.4,325,13687,1631.1,12055.9,6436.3,3216.8,1574.5,828.2,6543.7,1427,625.9,801.1,5116.7,1232.5,3884.2,6154.5,29543.3,4153.7,4396.1,20993.5,4712.4,29206.1,11940.3,70421.8,78376.4,126090,"South",NA,NA,NA
"North Carolina",1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,246928.6,215728.7,3375.6,2877.3,498.3,484.1,7.1,467.5,9.5,4840.9,12061.5,63294.1,24146.3,1468.4,1792.1,525.3,2665.3,3135.9,5101,2765.9,1966.3,355.7,3090.1,1280.2,39147.7,13200.7,5897.5,2058.1,1746.1,905.1,231.6,12444,2664.5,14257.6,17243,7136.6,1326.9,246.7,114.5,3083.9,168.7,12.2,1492.5,691.1,8090.4,2081.4,172.3,4969.4,867.2,36378.2,12698,7056.7,1234.3,4383.5,23.6,23680.2,21698.1,1982,20145.5,10468,1863.3,1620.2,6984.5,3991.7,5685.7,5351.5,334.2,14580.8,1744.7,12836.2,6829.7,3410.1,1660.7,935.6,7237.9,1565.6,764.8,800.8,5672.3,1472.6,4199.7,6602.6,31199.9,4332.2,4483.6,22384.1,3859.7,31500.7,11977.5,71384.4,79215.2,136513.5,"South",NA,NA,NA
"North Carolina",1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,264836.2,231664.4,3015,2517.3,497.8,523,8,504.3,10.7,5079.7,12981.8,69639,26950.7,1571.9,1964.6,503.7,3082.1,3085.4,6913.6,2822.6,2043.5,403.1,3201.5,1358.5,42688.3,15720.1,5936.3,2004.6,1732.6,864.3,182.9,13441,2806.5,14672,17959.3,7265.2,1359.7,252.3,127,3252.8,182.9,12.7,1398.8,678.9,8409.6,2559.5,198,4934.6,717.5,39773.3,13768.8,8934.3,428.2,4372.6,33.6,26004.5,23710.4,2294.1,21992.9,11567.2,1914.4,2073.7,7579.1,4471.5,5954.3,5573.8,380.4,15649.6,1928.7,13721,7172.5,3709.9,1796.1,1042.4,7964.4,1727.5,856.4,871.1,6236.9,1612,4624.8,6739.6,33171.8,4508.1,4643.7,24020,3538,32631.2,12344.9,78048.6,86158.9,145505.5,"South",NA,0.6,0.5
